Verso Ruso (Original),trad1,trad2,trad3
"За гремучую доблесть грядущих веков,","For the rattling valour of future centuries,","In the name of the higher tribes of the future,",For  the  thundering  glory  of  ages  to  come
За высокое племя людей -,"For the highborn tribe of people,","in the name of their foreboding nobility,",for  the  tall  race  of  men
"Я лишился и чаши на пире отцов,","I am deprived of the cups on the pyres of my fathers,","I have had to give up my drinking cup at the family feast,",I  have  given  up  both  the  cup  at  my  fathers’  feast
"И веселья, и чести своей.","Of their pleasures, of their marks of esteem.","my joy too, then my honor.","and  my  mirth,  my  honor."
"Мне на плечи кидается век-волкодав,","Like a wolfhound the century leaps on my shoulders,","This cutthroat wolf century has jumped on my shoulders,",The  wolf-fanged  age  hurls  itself  at  my  shoulders
Но не волк я по крови своей -,But my skin is not the skin of a wolf.,but I don’t wear the hide of a wolf —,"but  I  am  no  wolf  by  my  blood,"
"Запихай меня лучше, как шапку в рукав",Stuff me rather like a cap into the sleeve,"no, tuck me like a cap in the sleeve",rather  stuff  me  like  a  hat  in  the  sleeve
"Жаркой шубы сибирских степей,",Of a yellow sheepskin coat from Siberian steppes —,of a sheepskin shipped to the steppes.,of  the  Siberian  steppes’  warm  overcoat
"Чтоб не видеть ни труса, ни хлипкой грязцы,","So that I see neither cowards, nor shallow dirt,","I do not want to eat the small dirt of the coward,","that  I  may  not  see  the  coward,  the  soft  bits  of  flesh,"
"Ни кровавых костей в колесе,","Nor the bloody bones on the wheel,",or wait for the bones to crack on the wheel.,"nor  the  bloody  bones  in  the  wheel,"
Чтоб сияли всю ночь голубые песцы,So that the blue foxes in their primitive beauty,I want to run with the shiny blue foxes,that  all  night  the  blue  polar  foxes  may  shine
"Мне в своей первобытной красе, -",All night long may shine at me.,moving like dancers in the night.,to  me  in  their  primal  beauty.
"Уведи меня в ночь, где течет Енисей","Carry me off into the night where the Yenisei flows,","There the Siberian river is glass,",Take  me  away  into  the  night  where  the  Yenisei  flows
"И сосна до звезды достает,","Where a pine tree reaches up to a star,","there the fir tree touches a star,","and  the  pines  grow  to  the  stars,"
Потому что не волк я по крови своей,For my skin is not the skin of a wolf,because I don’t have the hide of a wolf,because  I  am  no  wolf  by  my  blood
И меня только равный убьет.,And my mouth is not twisted with falsehood.,or slaver in the wolf trap’s steel jaw.,and  only  my  equal  will  kill  me.
