Verso Ruso (Original),trad 3,trad1,trad2
Бессонница. Гомер. Тугие паруса.,"Insomnia, Homer, taut sails: my lips have lisped",Insomnia. / Homer. / And sails drawn tight.,Insomnia. / Homer. / Taut sails.
Я список кораблей прочел до середины:,"Down to the middle the detailed list of ships,",I've read half-through the catalog of ships:,I've read the catalogue of ships halfway:
"Сей длинный выводок, сей поезд журавлиный,",That long brood and angular train of cranes,"That long-extended flock, that flight of cranes","This drawn-out brood, this string of cranes,"
Что над Элладою когда-то поднялся.,That rose above Hellas once on wings of waves.,Which once rose over Hellas to the sky.,That once rose above Hellas.
Как журавлиный клин в чужие рубежи -,A wedge of cranes into far foreign lands –,"O, wedge of cranes, pointing to far-off lands",As a wedge of cranes flies to alien lands-
На головах царей божественная пена -,Divine white froth forming upon kings’ heads –,"(These kings, heads covered with the gods' own foam),",Divine foam on kings' heads-
"Куда плывете вы? Когда бы не Елена,",Where have you hoist sail to? / If it were not for Helen,"Where are you sailing to? / Were there no Helen,","Where do you sail to? / If not for Elena,"
"Что Троя вам одна, ахейские мужи?","What would Troy alone be to you, Achaean men?","Achaeans, then what would Troy be to you?","What could Troy alone hold for you, Achaeans?"
"И море, и Гомер - всё движется любовью.",The sea and Homer – as all – are moved by love;,Both sea and Homer - all is moved by love.,"The sea, and Homer-love moves all."
"Кого же слушать мне? И вот, Гомер молчит,",Which should I hark? / Homer the first to fall,"Which one should I hear? / Homer now is silent,","Whom should I listen to? / Now Homer is silent,"
"И море черное, витийствуя, шумит","Silent, the black sea’s cries still rhapsodize,","And the dark sea, declaiming, roars and comes","And the sea, black, clamors in lofty oration"
И с тяжким грохотом подходит к изголовью.,Reaching to where I lie with sleep-filled eyes.,Close to my pillow with all thunder crashing.,And with a heavy rumble reaches my headboard.
